"number","title","pageid","namespace","length","touched"
"1","Category:Programming_languages","690571","Category","403","20190622112612"
"2","Category:Algorithms","691136","Category","304","20190619001936"
"3","Category:Data_structures","691150","Category","737","20190620094318"
"4","Category:Zope","693339","Category","191","20190620094319"
"5","Category:Functional_programming","693702","Category","117","20190620094320"
"6","Category:Computational_complexity_theory","693727","Category","139","20190623170144"
"7","Category:Lambda_calculus","693892","Category","275","20190620094320"
"8","Category:Text_editors","694684","Category","202","20190624193053"
"9","Category:Writing_systems","694776","Category","458","20190623141635"
"10","Category:TeX","695136","Category","586","20190620094320"
"11","Category:Esoteric_programming_languages","695912","Category","158","20190620094321"
"12","Category:Audio_editors","696192","Category","220","20190620094321"
"13","Category:Massively_multiplayer_online_games","696426","Category","627","20190620094321"
"14","Category:Root-finding_algorithms","697463","Category","363","20190415000102"
"15","Category:Numerical_analysis","697506","Category","270","20190625010803"
"16","Category:FFT_algorithms","697583","Category","382","20190409095042"
"17","Category:Graph_algorithms","699287","Category","199","20190529112750"
"18","Category:Scientific_classification","700421","Category","151","20190620094322"
"19","Category:Geometric_algorithms","702582","Category","244","20190620094323"
"20","Category:Compression_algorithms","702589","Category","155","20190529112751"
"21","Category:Quantum_algorithms","702600","Category","155","20190312131022"
"22","Category:Computer_algebra_systems","703136","Category","1378","20190530195112"
"23","Category:Statistical_software","703162","Category","183","20190620094323"
"24","Category:Number_theoretic_algorithms","704479","Category","215","20190527160133"
"25","Category:Cryptographic_algorithms","704483","Category","213","20190620094324"
"26","Category:Algorithms_on_strings","704505","Category","201","20190529112751"
"27","Category:Declarative_programming_languages","705543","Category","227","20190529112751"
"28","Category:Digital_signal_processing","707453","Category","597","20190620094324"
"29","Category:Audio_programming_languages","712425","Category","241","20170215094547"
"30","Category:Web_development_software","716595","Category","196","20190618112501"
"31","Category:Page_description_languages","722455","Category","160","20181024143534"
"32","Category:PostScript","722640","Category","64","20190312131026"
"33","Category:Functional_groups","724516","Category","119","20190620094329"
"34","Category:Geocodes","724833","Category","378","20190611002702"
"35","Category:Character_sets","727087","Category","1205","20190620094330"
"36","Category:Polyhedra","731400","Category","1620","20190620094333"
"37","Category:Audio_codecs","734245","Category","232","20190620094334"
"38","Category:Video_codecs","734257","Category","289","20190620094334"
